method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
confidence_plus_evidence_scorer,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5837903193369147,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
confidence_plus_evidence_scorer,0.02,15,0.025,0.975,0.5846153846153846,0.41538461538461535,0.5831964655908122,6,39,9,0.4,0.13333333333333333,118,0.6694915254237288,0.3305084745762712,0.595
confidence_plus_evidence_scorer,0.05,32,0.05333333333333334,0.9466666666666667,0.5827464788732394,0.4172535211267606,0.576579138255295,12,33,20,0.375,0.26666666666666666,101,0.6732673267326732,0.32673267326732675,0.605
confidence_plus_evidence_scorer,0.1,63,0.105,0.895,0.5791433891992551,0.4208566108007449,0.5605810825106287,23,22,40,0.36507936507936506,0.5111111111111111,70,0.6857142857142857,0.3142857142857143,0.6233333333333333
confidence_plus_evidence_scorer,0.2,117,0.195,0.805,0.5610766045548654,0.4389233954451346,0.4674209450547037,37,8,80,0.3162393162393162,0.8222222222222222,16,0.5,0.5,0.6466666666666666
full_without_dataset_source,0.01,10,0.016666666666666666,0.9833333333333333,0.5864406779661017,0.41355932203389834,0.5856983781543181,5,40,5,0.5,0.1111111111111111,123,0.6747967479674797,0.3252032520325203,0.5933333333333334
full_without_dataset_source,0.02,15,0.025,0.975,0.5897435897435898,0.41025641025641024,0.5883363345284905,9,36,6,0.6,0.2,118,0.6949152542372881,0.3050847457627119,0.6
full_without_dataset_source,0.05,32,0.05333333333333334,0.9466666666666667,0.5880281690140845,0.4119718309859155,0.5833579538260246,15,30,17,0.46875,0.3333333333333333,101,0.7029702970297029,0.297029702970297,0.61
full_without_dataset_source,0.1,63,0.105,0.895,0.5847299813780261,0.4152700186219739,0.5677403892595171,26,19,37,0.4126984126984127,0.5777777777777777,70,0.7285714285714286,0.2714285714285714,0.6283333333333333
full_without_dataset_source,0.2,117,0.195,0.805,0.5631469979296067,0.43685300207039335,0.47162531929569235,38,7,79,0.3247863247863248,0.8444444444444444,16,0.5625,0.4375,0.6483333333333333
full_with_dataset_source,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5837903193369147,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
full_with_dataset_source,0.02,15,0.025,0.975,0.5897435897435898,0.41025641025641024,0.5886819125941299,9,36,6,0.6,0.2,118,0.6949152542372881,0.3050847457627119,0.6
full_with_dataset_source,0.05,32,0.05333333333333334,0.9466666666666667,0.5862676056338029,0.41373239436619713,0.5812295080991019,14,31,18,0.4375,0.3111111111111111,101,0.693069306930693,0.3069306930693069,0.6083333333333333
full_with_dataset_source,0.1,63,0.105,0.895,0.5828677839851024,0.4171322160148976,0.5647625613457614,25,20,38,0.3968253968253968,0.5555555555555556,70,0.7142857142857143,0.2857142857142857,0.6266666666666667
full_with_dataset_source,0.2,117,0.195,0.805,0.5610766045548654,0.4389233954451346,0.46666178909374695,37,8,80,0.3162393162393162,0.8222222222222222,16,0.5,0.5,0.6466666666666666
oracle,0.01,10,0.016666666666666666,0.9833333333333333,0.5949152542372881,0.4050847457627119,0.5980366716950823,10,35,0,1.0,0.2222222222222222,123,0.7154471544715447,0.2845528455284553,0.6016666666666667
