method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
learned,0.01,1.0,0.2,0.005,0.004763344142264085,0.0006589244798640923,0.009747512547327638,5000,claim_source_component,False
learned,0.01,1.0,0.5,0.0,0.0005654730152085851,-0.003466354948969767,0.0052724540796274455,5000,claim_source_component,False
learned,0.02,0.6,0.01,0.008749999999999999,0.00719489717639556,0.0037517570493008565,0.01106366393040921,5000,claim_source_component,False
learned,0.02,0.6,0.05,0.007749999999999999,0.006249079932165097,0.0028662719298245616,0.010084974536484438,5000,claim_source_component,False
learned,0.02,0.6,0.1,0.006499999999999999,0.00506680837687702,0.001700638993461462,0.008865979381443297,5000,claim_source_component,False
learned,0.02,0.6,0.2,0.003999999999999999,0.0027022652663008643,-0.0006945049361207903,0.006407612561073655,5000,claim_source_component,False
learned,0.02,0.6,0.5,-0.003500000000000001,-0.004391364065427601,-0.007877588533511004,-0.0007977668017561645,5000,claim_source_component,False
learned,0.02,0.8,0.01,0.01175,0.009672014338879953,0.005073962176807767,0.014837447028554126,5000,claim_source_component,False
learned,0.02,0.8,0.05,0.010750000000000001,0.00872619709464949,0.004200963756177924,0.01383735344993273,5000,claim_source_component,False
learned,0.02,0.8,0.1,0.0095,0.007543925539361413,0.0030508474576271187,0.012629510420684425,5000,claim_source_component,False
learned,0.02,0.8,0.2,0.007,0.005179382428785257,0.0006802432348151483,0.010169836722013182,5000,claim_source_component,False
learned,0.02,0.8,0.5,-0.0004999999999999997,-0.001914246902943208,-0.006512740173256266,0.0029104398851739232,5000,claim_source_component,False
learned,0.02,1.0,0.01,0.01475,0.012149131501364343,0.006396167304314676,0.01861123012669904,5000,claim_source_component,False
learned,0.02,1.0,0.05,0.01375,0.01120331425713388,0.005518945634266886,0.01758036863625015,5000,claim_source_component,False
learned,0.02,1.0,0.1,0.0125,0.010021042701845803,0.004395511583011583,0.016403996195246465,5000,claim_source_component,False
learned,0.02,1.0,0.2,0.01,0.0076564995912696485,0.0020372651146729585,0.013953488372093023,5000,claim_source_component,False
learned,0.02,1.0,0.5,0.0025,0.0005628702595411833,-0.005119541347283612,0.006649379432624107,5000,claim_source_component,False
learned,0.05,0.6,0.01,0.014466666666666666,0.015146157814341706,0.008943187101546264,0.020754753059440554,5000,claim_source_component,False
learned,0.05,0.6,0.05,0.012333333333333333,0.013045629359996787,0.006919203952648476,0.018624496166318148,5000,claim_source_component,False
learned,0.05,0.6,0.1,0.009666666666666667,0.010419968792065632,0.004377880184331797,0.015975809676129542,5000,claim_source_component,False
learned,0.05,0.6,0.2,0.004333333333333333,0.005168647656203329,-0.0007921184975640428,0.010581211299168475,5000,claim_source_component,False
learned,0.05,0.6,0.5,-0.011666666666666667,-0.010585315751383582,-0.01637973749611681,-0.0049518041721480985,5000,claim_source_component,False
learned,0.05,0.8,0.01,0.019466666666666667,0.020369921123651023,0.01208897273783946,0.027855386800699298,5000,claim_source_component,False
learned,0.05,0.8,0.05,0.017333333333333333,0.0182693926693061,0.01009802867736973,0.0257217520868704,5000,claim_source_component,False
learned,0.05,0.8,0.1,0.014666666666666668,0.015643732101374947,0.00750549805548998,0.02308708025145263,5000,claim_source_component,False
learned,0.05,0.8,0.2,0.009333333333333332,0.010392410965512645,0.002391362374546232,0.017717313954240616,5000,claim_source_component,False
learned,0.05,0.8,0.5,-0.006666666666666667,-0.005361552442074267,-0.013204764879600182,0.0018562997144054574,5000,claim_source_component,False
learned,0.05,1.0,0.01,0.024466666666666668,0.025593684432960333,0.0152349774396178,0.03495602054195803,5000,claim_source_component,False
learned,0.05,1.0,0.05,0.022333333333333334,0.023493155978615413,0.013246949506051032,0.0328132848724884,5000,claim_source_component,False
learned,0.05,1.0,0.1,0.01966666666666667,0.02086749541068426,0.010692409240924093,0.030140407386761915,5000,claim_source_component,False
learned,0.05,1.0,0.2,0.014333333333333333,0.015616174274821955,0.005545268205193902,0.024856766343813015,5000,claim_source_component,False
learned,0.05,1.0,0.5,-0.0016666666666666668,-0.0001377891327649562,-0.010046464936739339,0.008911333097595467,5000,claim_source_component,False
learned,0.1,0.6,0.01,0.024949999999999996,0.024727894689566605,0.015625767799709905,0.03416070015201578,5000,claim_source_component,False
learned,0.1,0.6,0.05,0.020749999999999998,0.020744698328592708,0.011789169390285133,0.030237339834181257,5000,claim_source_component,False
learned,0.1,0.6,0.1,0.015499999999999998,0.01576570287737533,0.006992061261767597,0.025221717579986376,5000,claim_source_component,False
learned,0.1,0.6,0.2,0.004999999999999997,0.0058077119749405885,-0.0028169916937522592,0.015447289075539758,5000,claim_source_component,False
learned,0.1,0.6,0.5,-0.0265,-0.024066260732363644,-0.03314769608293285,-0.013307596009548475,5000,claim_source_component,False
learned,0.1,0.8,0.01,0.03361666666666667,0.03330245928283664,0.021146377701991077,0.04586101549053357,5000,claim_source_component,False
learned,0.1,0.8,0.05,0.029416666666666664,0.02931926292186274,0.017328227823111345,0.04198304920573421,5000,claim_source_component,False
learned,0.1,0.8,0.1,0.024166666666666666,0.024340267470645365,0.012518836939721792,0.037008733503382484,5000,claim_source_component,False
learned,0.1,0.8,0.2,0.013666666666666666,0.014382276568210619,0.0027606448221482367,0.026962252171063395,5000,claim_source_component,False
learned,0.1,0.8,0.5,-0.017833333333333333,-0.015491696139093614,-0.027205017944440833,-0.001864035821020295,5000,claim_source_component,False
learned,0.1,1.0,0.01,0.04228333333333333,0.04187702387610666,0.026666338582677168,0.05758241758241758,5000,claim_source_component,False
learned,0.1,1.0,0.05,0.03808333333333334,0.03789382751513276,0.022824424347259304,0.05374034641350819,5000,claim_source_component,False
learned,0.1,1.0,0.1,0.03283333333333333,0.03291483206391539,0.018082055851706986,0.04875864746198328,5000,claim_source_component,False
learned,0.1,1.0,0.2,0.02233333333333333,0.022956841161480643,0.008318246922611497,0.03864979410663668,5000,claim_source_component,False
learned,0.1,1.0,0.5,-0.009166666666666667,-0.006917131545823591,-0.021376097522167417,0.009583750803786368,5000,claim_source_component,False
learned,0.2,0.6,0.01,0.036050000000000006,0.03669497460335236,0.024313724209976493,0.05033129338691998,5000,claim_source_component,False
learned,0.2,0.6,0.05,0.028249999999999997,0.029614996429214852,0.01760501475802777,0.04334040614489964,5000,claim_source_component,False
learned,0.2,0.6,0.1,0.0185,0.02076502371154298,0.00896049452891857,0.034880111088676634,5000,claim_source_component,False
learned,0.2,0.6,0.2,-0.0010000000000000024,0.0030650782761992333,-0.009022798932815912,0.017900390993917843,5000,claim_source_component,False
learned,0.2,0.6,0.5,-0.059500000000000004,-0.050034758029832004,-0.06651793837076315,-0.02786481125566727,5000,claim_source_component,False
learned,0.2,0.8,0.01,0.04871666666666667,0.04951663098564794,0.03293820119352089,0.06772259773474608,5000,claim_source_component,False
learned,0.2,0.8,0.05,0.04091666666666667,0.04243665281151044,0.026304706241613303,0.06082706755207814,5000,claim_source_component,False
learned,0.2,0.8,0.1,0.031166666666666672,0.03358668009383857,0.01769038264045397,0.05211813847818889,5000,claim_source_component,False
learned,0.2,0.8,0.2,0.011666666666666667,0.015886734658494817,0.0,0.03496184694790245,5000,claim_source_component,False
learned,0.2,0.8,0.5,-0.04683333333333333,-0.037213101647536426,-0.05634794776119402,-0.0124325396825397,5000,claim_source_component,False
learned,0.2,1.0,0.01,0.06138333333333333,0.06233828736794351,0.04158388484829807,0.08511390208257216,5000,claim_source_component,False
learned,0.2,1.0,0.05,0.05358333333333333,0.055258309193806004,0.034916492012481946,0.07807533763698826,5000,claim_source_component,False
learned,0.2,1.0,0.1,0.04383333333333333,0.04640833647613414,0.026452623953955732,0.0694727722559824,5000,claim_source_component,False
learned,0.2,1.0,0.2,0.02433333333333333,0.028708391040790388,0.009130935785892443,0.052196135631285966,5000,claim_source_component,False
learned,0.2,1.0,0.5,-0.034166666666666665,-0.02439144526524085,-0.04660364286288055,0.003964055543131262,5000,claim_source_component,False
oracle,0.01,0.6,0.01,0.009833333333333335,0.008228280309349552,0.006730038022813687,0.009833333333333333,5000,claim_source_component,False
oracle,0.01,0.6,0.05,0.009166666666666667,0.007668564159075484,0.006239828213227612,0.009166666666666665,5000,claim_source_component,False
oracle,0.01,0.6,0.1,0.008333333333333333,0.006968918971232901,0.005663247375126302,0.008333333333333333,5000,claim_source_component,False
oracle,0.01,0.6,0.2,0.006666666666666667,0.005569628595547735,0.004487107623318385,0.006666666666666666,5000,claim_source_component,False
oracle,0.01,0.6,0.5,0.0016666666666666668,0.0013717574684922347,0.0010351565634679892,0.0016666666666666663,5000,claim_source_component,False
oracle,0.01,0.8,0.01,0.013166666666666667,0.011017683424988909,0.009011406844106467,0.013166666666666667,5000,claim_source_component,False
oracle,0.01,0.8,0.05,0.0125,0.010457967274714841,0.008542517269821632,0.0125,5000,claim_source_component,False
oracle,0.01,0.8,0.1,0.011666666666666667,0.009758322086872257,0.007939508506616259,0.011666666666666667,5000,claim_source_component,False
oracle,0.01,0.8,0.2,0.01,0.008359031711187091,0.006760359585163717,0.010000000000000002,5000,claim_source_component,False
oracle,0.01,0.8,0.5,0.005,0.004161160584131592,0.003191489361702129,0.005000000000000001,5000,claim_source_component,False
oracle,0.01,1.0,0.01,0.0165,0.013807086540628266,0.01129277566539924,0.0165,5000,claim_source_component,False
