method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
confidence_only_features,0.01,10,0.016666666666666666,0.9833333333333333,0.588135593220339,0.41186440677966096,0.5890314243361557,6,39,4,0.6,0.13333333333333333,123,0.6829268292682926,0.3170731707317073,0.595
confidence_only_features,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5862493599590374,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
confidence_only_features,0.03,21,0.035,0.965,0.5854922279792746,0.4145077720207254,0.5841749846603235,9,36,12,0.42857142857142855,0.2,112,0.6785714285714286,0.32142857142857145,0.6
confidence_only_features,0.04,26,0.043333333333333335,0.9566666666666667,0.5836236933797909,0.4163763066202091,0.5805872016453124,10,35,16,0.38461538461538464,0.2222222222222222,107,0.6728971962616823,0.32710280373831774,0.6016666666666667
confidence_only_features,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.5798248971236944,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
confidence_only_features,0.06,37,0.06166666666666667,0.9383333333333334,0.5861456483126111,0.41385435168738893,0.5809577524138294,16,29,21,0.43243243243243246,0.35555555555555557,96,0.6979166666666667,0.3020833333333333,0.6116666666666667
confidence_only_features,0.07,43,0.07166666666666667,0.9283333333333333,0.585278276481149,0.41472172351885095,0.5781262958000478,18,27,25,0.4186046511627907,0.4,90,0.7,0.3,0.615
confidence_only_features,0.08,52,0.08666666666666667,0.9133333333333333,0.5857664233576643,0.41423357664233573,0.5755193913611092,22,23,30,0.4230769230769231,0.4888888888888889,81,0.7160493827160495,0.2839506172839506,0.6216666666666667
confidence_only_features,0.09,58,0.09666666666666666,0.9033333333333333,0.5830258302583026,0.41697416974169743,0.569055447500849,23,22,35,0.39655172413793105,0.5111111111111111,75,0.7066666666666667,0.29333333333333333,0.6233333333333333
confidence_only_features,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.563612994975113,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
