seed,fold,task,model,count,accuracy,macro_f1,irrelevant_precision,irrelevant_recall,irrelevant_f1,irrelevant_support,partial_precision,partial_recall,partial_f1,partial_support,relevant_precision,relevant_recall,relevant_f1,relevant_support,non_actionable_precision,non_actionable_recall,non_actionable_f1,non_actionable_support,actionable_precision,actionable_recall,actionable_f1,actionable_support
23,1,actionability,rule_baseline,92,0.75,0.500825666430762,,,,,,,,,,,,,0.8481012658227848,0.8589743589743589,0.8535031847133758,78,0.15384615384615385,0.14285714285714285,0.14814814814814814,14
23,1,actionability,logistic_regression,92,0.6304347826086957,0.5442890442890442,,,,,,,,,,,,,0.9074074074074074,0.6282051282051282,0.7424242424242424,78,0.23684210526315788,0.6428571428571429,0.34615384615384615,14
23,1,actionability,random_forest,92,0.8586956521739131,0.6770186335403726,,,,,,,,,,,,,0.891566265060241,0.9487179487179487,0.9192546583850931,78,0.5555555555555556,0.35714285714285715,0.43478260869565216,14
23,2,path_relevance,majority_baseline,101,0.37623762376237624,0.18225419664268586,0.0,0.0,0.0,57,0.37623762376237624,1.0,0.5467625899280576,38,0.0,0.0,0.0,6,,,,,,,,
23,2,path_relevance,rule_baseline,101,0.3564356435643564,0.28153717627401836,0.0,0.0,0.0,57,0.35789473684210527,0.8947368421052632,0.5112781954887218,38,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,,,,,,,,
23,2,path_relevance,logistic_regression,101,0.7326732673267327,0.6027390631049168,0.803030303030303,0.9298245614035088,0.8617886178861789,57,0.72,0.47368421052631576,0.5714285714285714,38,0.3,0.5,0.375,6,,,,,,,,
23,2,path_relevance,random_forest,101,0.6534653465346535,0.5240700931535405,0.7083333333333334,0.8947368421052632,0.7906976744186046,57,0.6666666666666666,0.3157894736842105,0.42857142857142855,38,0.2727272727272727,0.5,0.35294117647058826,6,,,,,,,,
23,2,actionability,majority_baseline,101,0.8514851485148515,0.45989304812834225,,,,,,,,,,,,,0.8514851485148515,1.0,0.9197860962566845,86,0.0,0.0,0.0,15
23,2,actionability,rule_baseline,101,0.8712871287128713,0.6545645882662456,,,,,,,,,,,,,0.8842105263157894,0.9767441860465116,0.9281767955801105,86,0.6666666666666666,0.26666666666666666,0.38095238095238093,15
23,2,actionability,logistic_regression,101,0.9405940594059405,0.89390756302521,,,,,,,,,,,,,0.9878048780487805,0.9418604651162791,0.9642857142857143,86,0.7368421052631579,0.9333333333333333,0.8235294117647058,15
23,2,actionability,random_forest,101,0.9603960396039604,0.9117132867132867,,,,,,,,,,,,,0.9555555555555556,1.0,0.9772727272727273,86,1.0,0.7333333333333333,0.8461538461538461,15
23,3,path_relevance,majority_baseline,90,0.4666666666666667,0.21212121212121213,0.0,0.0,0.0,42,0.4666666666666667,1.0,0.6363636363636364,42,0.0,0.0,0.0,6,,,,,,,,
23,3,path_relevance,rule_baseline,90,0.4777777777777778,0.36003445305770887,0.0,0.0,0.0,42,0.47126436781609193,0.9761904761904762,0.6356589147286822,42,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,,,,,,,,
23,3,path_relevance,logistic_regression,90,0.6444444444444445,0.6002886002886002,0.6521739130434783,0.7142857142857143,0.6818181818181818,42,0.6190476190476191,0.6190476190476191,0.6190476190476191,42,1.0,0.3333333333333333,0.5,6,,,,,,,,
23,3,path_relevance,random_forest,90,0.6333333333333333,0.5887218045112782,0.6226415094339622,0.7857142857142857,0.6947368421052632,42,0.6285714285714286,0.5238095238095238,0.5714285714285714,42,1.0,0.3333333333333333,0.5,6,,,,,,,,
23,3,actionability,majority_baseline,90,0.8,0.4444444444444444,,,,,,,,,,,,,0.8,1.0,0.8888888888888888,72,0.0,0.0,0.0,18
23,3,actionability,rule_baseline,90,0.8111111111111111,0.5417789757412399,,,,,,,,,,,,,0.8160919540229885,0.9861111111111112,0.8930817610062893,72,0.6666666666666666,0.1111111111111111,0.19047619047619047,18
23,3,actionability,logistic_regression,90,0.8555555555555555,0.7694581280788177,,,,,,,,,,,,,0.9041095890410958,0.9166666666666666,0.9103448275862069,72,0.6470588235294118,0.6111111111111112,0.6285714285714286,18
23,3,actionability,random_forest,90,0.8,0.6579391891891893,,,,,,,,,,,,,0.8552631578947368,0.9027777777777778,0.8783783783783784,72,0.5,0.3888888888888889,0.4375,18
23,4,path_relevance,majority_baseline,96,0.5208333333333334,0.228310502283105,0.0,0.0,0.0,43,0.5208333333333334,1.0,0.684931506849315,50,0.0,0.0,0.0,3,,,,,,,,
23,4,path_relevance,rule_baseline,96,0.4895833333333333,0.3695324283559578,0.0,0.0,0.0,43,0.5116279069767442,0.88,0.6470588235294118,50,0.3,1.0,0.46153846153846156,3,,,,,,,,
23,4,path_relevance,logistic_regression,96,0.6458333333333334,0.6760401835152665,0.6,0.7674418604651163,0.673469387755102,43,0.7222222222222222,0.52,0.6046511627906976,50,0.6,1.0,0.75,3,,,,,,,,
23,4,path_relevance,random_forest,96,0.5729166666666666,0.5613772343548592,0.5636363636363636,0.7209302325581395,0.6326530612244898,43,0.6363636363636364,0.42,0.5060240963855421,50,0.375,1.0,0.5454545454545454,3,,,,,,,,
23,4,actionability,majority_baseline,96,0.78125,0.43859649122807015,,,,,,,,,,,,,0.78125,1.0,0.8771929824561403,75,0.0,0.0,0.0,21
